geoid,countyfp,pop20,areakm,popdens,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,pollvoter_dens,job_dens,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag
6001443002,1.0,6654.0,1.58033,4210.52363,0.91366,0.90135,0.92946,0.91023,0.79662,0.79968,0.7962,0.77706,0.60643,0.54467,0.6688,0.56833,0.70272,0.71352,0.67144,0.56326,0.00411,0.00073,0.28318,0.0,0.99106,0.0,0.06406,0.0,0.02929,0.0,0.06898,1.0,0.58182,0.0,0.02987,1.0,0.17489,0.0,0.00173,1.0,0.17287,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.16046,0.0,0.01053,1.0,0.0,1.0,0.15325,0.0,0.23045,0.0,0.02482,1.0,0.00245,1.0,0.0114,1.0,0.05108,1.0,0.00355,0.13515,0.0
6001443102,1.0,4945.0,2.36743,2088.7672,0.9498,0.89571,0.96216,0.96468,0.85804,0.82608,0.85068,0.83964,0.67872,0.7445,0.68393,0.77236,0.77165,0.72741,0.74652,0.57779,0.00268,0.00053,0.20542,0.0,0.98015,0.0,0.02208,1.0,0.0152,1.0,0.06259,1.0,0.76426,0.0,0.00573,1.0,0.05587,1.0,0.0,1.0,0.14413,0.0,0.00948,1.0,0.0,1.0,0.0,1.0,0.03672,1.0,0.00652,1.0,0.00039,1.0,0.35281,0.0,0.29378,0.0,0.01244,1.0,0.00809,1.0,0.02053,1.0,0.01402,1.0,0.00317,0.0,1.0
6001443103,1.0,3974.0,16.6872,238.14658,0.95299,0.92711,0.96363,0.95914,0.83339,0.85267,0.82507,0.82267,0.70779,0.72461,0.71276,0.814,0.72922,0.67482,0.71213,0.56446,0.00232,0.00198,0.17732,0.0,0.98036,0.0,0.02019,1.0,0.03201,1.0,0.06874,1.0,0.78888,0.0,0.00303,1.0,0.03499,0.0,0.00672,1.0,0.13608,0.0,0.0,1.0,0.00072,1.0,0.0,1.0,0.02339,1.0,0.00033,1.0,0.00013,1.0,0.38739,0.0,0.28038,0.0,0.02929,1.0,0.00048,1.0,0.01018,1.0,0.02304,1.0,0.003,0.0,1.0
6001443104,1.0,5905.0,1.84705,3196.98452,0.93205,0.87938,0.94125,0.93224,0.84737,0.89054,0.84236,0.83137,0.68667,0.65163,0.71633,0.72546,0.76362,0.7718,0.73597,0.5734,0.00347,0.00141,0.18219,0.0,0.97541,0.0,0.01968,1.0,0.03381,0.0,0.05249,1.0,0.76957,0.0,0.00338,1.0,0.01157,1.0,0.0,1.0,0.17972,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00907,1.0,0.00249,1.0,0.0,1.0,0.36762,0.0,0.29698,0.0,0.00196,1.0,0.01121,0.0,0.01228,1.0,0.01263,1.0,0.00305,0.0,1.0
6001443105,1.0,4691.0,3.28944,1426.07811,0.9429,0.97539,0.94967,0.95403,0.85387,0.88158,0.84978,0.81228,0.66495,0.70636,0.68025,0.73256,0.75974,0.75648,0.74698,0.57679,0.0028,0.00074,0.1609,0.0,0.97531,0.0,0.03981,1.0,0.03051,0.0,0.05893,1.0,0.78579,0.0,0.01546,1.0,0.02445,1.0,0.0,1.0,0.13939,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01735,1.0,0.0,1.0,0.00711,1.0,0.32247,0.0,0.2581,0.0,0.03615,0.0,0.014,1.0,0.01045,1.0,0.03302,0.0,0.00318,0.02427,0.0
6001443200,1.0,3553.0,14.505,244.94997,0.94283,0.89289,0.94607,0.9524,0.8441,0.82356,0.82404,0.83743,0.69976,0.70951,0.69863,0.76884,0.74372,0.73497,0.71813,0.55953,0.00243,0.00046,0.12886,0.0,0.99306,0.0,0.01456,1.0,0.03993,0.0,0.07452,1.0,0.72552,0.0,0.00112,1.0,0.01039,1.0,0.00333,1.0,0.20028,0.0,0.00187,1.0,0.00068,1.0,1e-05,1.0,0.00523,1.0,0.00033,1.0,0.00012,1.0,0.27676,0.0,0.3429,0.0,0.0158,1.0,0.00908,1.0,0.00536,1.0,0.04772,1.0,0.00303,0.10037,0.0
6001443301,1.0,4137.0,1.55674,2657.47666,0.92531,0.92199,0.93048,0.92086,0.85017,0.85135,0.83513,0.8309,0.66638,0.60454,0.65947,0.72593,0.78832,0.76265,0.76646,0.61452,0.00281,0.00019,0.16561,0.0,0.98676,0.0,0.03068,1.0,0.00624,1.0,0.06501,1.0,0.59609,0.0,0.01448,1.0,0.08783,0.0,0.0,1.0,0.25453,0.0,0.00344,1.0,0.01193,1.0,0.00575,1.0,0.03916,1.0,0.02135,1.0,0.0,1.0,0.30178,0.0,0.16002,0.0,0.05845,1.0,0.00436,1.0,0.00253,1.0,0.04712,1.0,0.00249,0.07787,0.0
6001443321,1.0,3513.0,0.55888,6285.80897,0.88732,0.91905,0.90592,0.93535,0.7948,0.83243,0.78212,0.78324,0.63398,0.67886,0.64056,0.67454,0.72127,0.72907,0.68463,0.52632,0.0019,0.00098,0.20835,0.0,0.94222,0.0,0.03034,1.0,0.05552,1.0,0.05879,1.0,0.79483,0.0,0.038,1.0,0.09204,0.0,0.0,1.0,0.05048,0.0,0.01069,1.0,0.0,1.0,0.0,1.0,0.07393,0.0,0.00475,1.0,0.0,1.0,0.5003,0.0,0.17844,0.0,0.02821,1.0,0.00861,1.0,0.02583,1.0,0.03682,1.0,0.00106,0.0,1.0
6001443322,1.0,3192.0,1.14829,2779.79477,0.91356,0.86497,0.93285,0.92131,0.8226,0.88152,0.82092,0.76347,0.66732,0.58714,0.72073,0.67647,0.74674,0.77505,0.72301,0.59429,0.00204,0.00068,0.21406,0.0,0.98286,0.0,0.03963,0.0,0.03597,0.0,0.03204,1.0,0.70042,0.0,0.01632,1.0,0.04534,0.0,0.00665,1.0,0.19166,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03144,0.0,0.00333,1.0,0.00635,1.0,0.26481,0.0,0.30411,0.0,0.00363,1.0,0.00998,1.0,0.00907,1.0,0.02872,1.0,0.00169,0.09794,0.0
6001444100,1.0,7710.0,3.01609,2556.28643,0.91617,0.89659,0.94143,0.89481,0.82257,0.81551,0.79712,0.78051,0.63754,0.5269,0.70336,0.57194,0.7654,0.73578,0.71426,0.64834,0.00616,0.00278,0.14388,0.0,0.93782,0.0,0.0296,1.0,0.04606,0.0,0.07107,1.0,0.2725,0.0,0.01098,1.0,0.28825,0.0,0.00119,1.0,0.3977,0.0,0.01443,1.0,0.0,1.0,0.0,1.0,0.25265,0.0,0.0,1.0,0.01019,1.0,0.02157,1.0,0.10813,0.0,0.04553,1.0,0.00556,1.0,0.0,1.0,0.02462,1.0,0.00536,0.16672,0.0
