geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020
6013303211,13.0,0.03835,0.0,0.96734,0.0,0.11163,0.0,0.04221,0.0,0.06382,1.0,0.0655,0.0,0.03202,0.0,0.16112,0.0,0.0,1.0,0.64259,0.0,0.0327,1.0,0.01232,1.0,0.0,1.0,0.06987,0.0,0.00963,1.0,0.00168,1.0,0.0,1.0,0.01881,1.0,0.03583,0.0,0.00146,1.0,0.0,1.0,0.00146,1.0,0.00482,0.10587,0.0,0.00169,0.00764,4965.0,10.24429,484.66036,,,,,,,,,0.8642,0.89032,0.86436,0.86463,0.85249,0.81934,0.85274,0.77743
6013304001,13.0,0.05172,0.0,0.95512,0.0,0.07705,0.0,0.03044,0.0,0.05319,1.0,0.12755,0.0,0.09962,0.0,0.11324,0.0,0.0,1.0,0.61385,0.0,0.01757,1.0,0.00348,1.0,0.0,1.0,0.07263,0.0,0.01156,1.0,0.0019,1.0,0.02672,1.0,0.02913,0.0,0.05373,0.0,0.01093,1.0,0.00245,1.0,1e-05,1.0,0.0055,0.0,1.0,0.00319,0.00668,5754.0,29.01768,198.29289,0.67964,0.54314,0.69581,0.54942,0.81038,0.77298,0.71135,0.50747,0.91521,0.90184,0.92862,0.86878,0.8855,0.80629,0.87426,0.75489
6013304002,13.0,0.08521,0.0,0.935,0.0,0.07129,1.0,0.14364,1.0,0.1159,1.0,0.01519,1.0,0.02933,1.0,0.32641,0.0,0.01428,1.0,0.60702,0.0,2e-05,1.0,0.0,1.0,0.0,1.0,0.30253,0.0,0.00408,1.0,6e-05,1.0,0.00033,1.0,0.00562,1.0,0.01314,1.0,6e-05,1.0,2e-05,1.0,6e-05,1.0,0.00121,0.24626,0.0,0.00222,0.00142,1295.0,96.48492,13.42179,0.71575,0.77314,0.77778,0.72966,0.74099,0.69098,0.84782,0.5904,0.87087,0.83549,0.7059,0.84914,0.76944,0.68463,0.80953,0.70984
6013304003,13.0,0.02044,1.0,0.99403,0.0,0.07098,0.0,0.0934,0.0,0.06488,1.0,0.06168,1.0,0.02509,1.0,0.16611,0.0,0.00158,1.0,0.74046,0.0,0.0037,1.0,0.0,1.0,0.0,1.0,0.11944,0.0,0.00291,1.0,0.00264,1.0,0.0279,1.0,0.00871,1.0,0.01479,1.0,0.01026,1.0,1e-05,1.0,1e-05,1.0,0.00403,0.09452,0.0,0.00136,0.00553,3554.0,9.15071,388.38522,0.67055,0.62363,0.85256,0.65789,0.8184,0.7691,0.75832,0.56583,0.886,0.84861,0.96306,0.87546,0.86555,0.82138,0.81311,0.73716
6013304004,13.0,0.01299,1.0,0.99984,0.0,0.09789,0.0,0.05831,0.0,0.03472,1.0,0.05138,0.0,0.00552,1.0,0.11373,0.0,0.0,1.0,0.79718,0.0,0.01016,1.0,0.0,1.0,0.0,1.0,0.07232,0.0,0.00011,1.0,0.00011,1.0,0.0058,1.0,0.0045,1.0,0.02434,1.0,2e-05,1.0,4e-05,1.0,0.01277,1.0,0.00433,0.14886,0.0,0.0008,0.00545,3624.0,3.26344,1110.48591,0.68759,0.62527,0.67565,0.60816,0.81841,0.77463,0.68955,0.61721,0.88663,0.88684,0.85464,0.89313,0.8711,0.83832,0.8724,0.73972
6013304006,13.0,0.03726,1.0,0.9741,0.0,0.07768,0.0,0.08252,0.0,0.11058,1.0,0.06115,0.0,0.07816,0.0,0.21791,0.0,1e-05,1.0,0.59868,0.0,0.00479,1.0,0.0,1.0,0.0,1.0,0.16625,0.0,0.01171,1.0,0.01183,1.0,0.00204,1.0,0.01878,0.0,0.02767,1.0,0.00277,1.0,0.00477,1.0,0.0,1.0,0.00372,0.15067,0.0,0.00073,0.00388,3993.0,41.1311,97.07982,,,,,,,,,0.90667,0.87038,0.95178,0.91197,0.83705,0.75279,0.8897,0.71361
6013304007,13.0,0.03598,1.0,0.9761,0.0,0.07907,0.0,0.08118,0.0,0.10618,1.0,0.06042,0.0,0.07382,0.0,0.21211,0.0,4e-05,1.0,0.61018,0.0,0.0051,1.0,0.0,1.0,0.0,1.0,0.16113,0.0,0.01102,1.0,0.01112,1.0,0.00217,1.0,0.01792,0.0,0.02747,1.0,0.00257,1.0,0.00449,1.0,0.00077,1.0,0.00434,0.12998,0.0,0.0014,0.0038,4715.0,7.743,608.93691,,,,,,,,,0.92201,0.92226,0.95095,0.92048,0.82315,0.80368,0.83798,0.73161
6013305000,13.0,0.24096,0.0,0.86571,0.0,0.17167,0.0,0.23083,0.0,0.08551,1.0,0.09327,1.0,0.1882,0.0,0.43029,0.0,0.00945,1.0,0.25576,0.0,0.04648,1.0,0.0,1.0,0.0,1.0,0.34006,0.0,0.03093,1.0,0.0,1.0,0.0,1.0,0.03764,1.0,0.01266,1.0,0.0,1.0,0.0,1.0,0.04678,1.0,0.00458,0.15522,0.0,0.01744,0.00509,7095.0,9.77414,725.89541,0.57665,0.49657,0.62587,0.51621,0.58353,0.58612,0.59613,0.38577,0.8725,0.87816,0.88086,0.87004,0.64964,0.62749,0.66613,0.53738
6013306002,13.0,0.25181,0.0,0.99228,0.0,0.11807,0.0,0.20986,1.0,0.08917,1.0,0.0737,0.0,0.06139,0.0,0.51308,0.0,0.0026,1.0,0.34919,0.0,0.02583,1.0,1e-05,1.0,0.0,1.0,0.46479,0.0,0.01045,1.0,0.00833,1.0,0.0,1.0,0.0084,1.0,0.0528,1.0,1e-05,1.0,0.0039,1.0,0.0,1.0,0.00291,0.098,0.0,0.00458,0.00404,3689.0,9.31809,395.89661,0.62716,0.56943,0.70005,0.57995,0.70565,0.70704,0.70322,0.52405,0.87838,0.85967,0.82906,0.85602,0.76414,0.69037,0.75827,0.57714
6013306003,13.0,0.20455,0.0,0.89323,0.0,0.08909,0.0,0.10568,0.0,0.10996,1.0,0.05103,1.0,0.08473,1.0,0.46717,0.0,0.01232,1.0,0.33526,0.0,0.07433,1.0,0.0,1.0,0.0,1.0,0.35991,0.0,0.00732,1.0,0.0,1.0,0.00693,1.0,0.02619,1.0,0.02484,1.0,0.00096,1.0,0.0,1.0,0.0,1.0,0.00422,0.24192,0.0,0.00299,0.00399,5625.0,1.7926,3137.90288,0.61837,0.58923,0.68241,0.5278,0.68179,0.65875,0.70025,0.49084,0.89304,0.89944,0.89883,0.88441,0.70914,0.71362,0.71649,0.61968
