geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,vbm_blk_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,turnout_blk_2016,tot_elignonreg_prc_final_dup_flag_x,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,vbm_blk_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020,turnout_blk_2020,tot_elignonreg_prc_final_dup_flag_y
6111000903,111.0,0.07016,0.0,0.95573,0.0,0.11118,0.0,0.02953,1.0,0.07175,1.0,0.04407,1.0,0.00154,1.0,0.18739,0.0,0.0,1.0,0.7412,0.0,0.0205,1.0,0.0,1.0,0.0,1.0,0.13546,0.0,0.0,1.0,0.03143,1.0,0.00649,1.0,0.00752,1.0,0.01982,1.0,0.00564,1.0,0.00273,1.0,0.00273,1.0,0.00858,0.0,1.0,0.0066,0.00721,5701.0,134.53798,42.37465,0.58792,0.525,0.62147,0.60885,,0.83525,0.76487,0.79662,0.69038,,0.0,0.91184,0.88771,0.80921,0.90772,,0.88921,0.80533,0.87809,0.77535,,0.0
6111001002,111.0,0.12766,0.0,0.99337,0.0,0.08626,1.0,0.0807,0.0,0.07456,1.0,0.01211,1.0,0.00283,1.0,0.26947,0.0,0.0,1.0,0.66698,0.0,0.01337,1.0,0.0,1.0,0.0,1.0,0.24902,0.0,0.0,1.0,0.00708,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00189,1.0,0.01022,1.0,0.0,1.0,0.00881,0.0,1.0,0.00403,0.00765,6953.0,8.26792,840.9617,0.66739,0.56036,0.80176,0.56746,,0.82798,0.7741,0.82163,0.66608,,0.0,0.91584,0.89195,0.93603,0.87425,,0.8734,0.81474,0.873,0.71581,,0.0
6111001101,111.0,0.07754,0.0,0.95193,0.0,0.11911,0.0,0.0585,0.0,0.07081,1.0,0.01029,1.0,0.0,1.0,0.31168,0.0,0.01836,1.0,0.63123,0.0,0.0,1.0,0.00222,1.0,0.0,1.0,0.26548,0.0,0.00121,1.0,0.02623,1.0,0.0,1.0,0.0,1.0,0.00807,1.0,0.00081,1.0,0.0,1.0,0.0,1.0,0.00677,0.0,1.0,0.00189,0.00579,4720.0,4.12116,1145.30936,0.75953,0.65034,0.90401,0.6692,,0.83801,0.77297,0.8315,0.64056,,0.0,0.9078,0.88083,0.91998,0.84249,,0.86571,0.79981,0.92437,0.76997,,0.0
6111001102,111.0,0.05857,0.0,0.9998,0.0,0.12015,0.0,0.06293,0.0,0.06361,1.0,0.00849,1.0,0.00055,1.0,0.19279,0.0,0.0,1.0,0.77934,0.0,0.02236,1.0,1e-05,1.0,0.0,1.0,0.14777,0.0,0.0,1.0,0.01036,1.0,0.0,1.0,0.0,1.0,0.00545,1.0,0.00303,1.0,0.0,1.0,0.0,1.0,0.00546,0.0,1.0,0.0021,0.00428,3663.0,8.20864,446.23717,0.82601,0.77888,0.86364,0.80465,,0.84623,0.74406,0.75862,0.66925,,0.0,0.91825,0.8969,0.91221,0.90476,,0.88977,0.82424,0.94305,0.77366,,0.0
6111001201,111.0,0.03832,0.0,0.87307,0.0,0.11441,0.0,0.08653,0.0,0.09034,1.0,0.02429,1.0,0.08199,0.0,0.44317,0.0,0.0,1.0,0.43151,0.0,0.0,1.0,0.01496,1.0,0.0,1.0,0.41111,0.0,0.00874,1.0,0.00291,1.0,0.00622,1.0,0.00155,1.0,0.01613,1.0,0.00175,1.0,0.0,1.0,0.00389,1.0,0.00668,0.0,1.0,0.00213,0.00591,6027.0,6.64401,907.1334,0.64207,0.54874,0.75885,0.58361,,0.78344,0.72586,0.73938,0.5794,,0.0,0.91314,0.88546,0.9104,0.886,,0.8398,0.79283,0.69886,0.72523,,0.0
6111001202,111.0,0.04232,1.0,0.9831,0.0,0.07582,0.0,0.02915,1.0,0.07691,1.0,0.06947,0.0,0.01733,1.0,0.24617,0.0,0.00014,1.0,0.64536,0.0,0.03724,1.0,0.0,1.0,0.0,1.0,0.16452,0.0,0.00244,1.0,0.03277,1.0,0.0,1.0,0.01625,1.0,0.01747,1.0,0.02261,0.0,0.00014,1.0,0.0023,1.0,0.01006,0.0,1.0,0.0023,0.00764,6961.0,2.96883,2344.69168,0.61681,0.5768,0.67347,0.57923,,0.84908,0.80105,0.76562,0.65827,,0.0,0.92733,0.91037,0.96241,0.90929,,0.89203,0.84984,0.86364,0.7969,,0.0
6111001204,111.0,0.16214,0.0,0.99998,0.0,0.0844,0.0,0.12749,0.0,0.10935,1.0,0.00396,1.0,0.01021,1.0,0.54838,0.0,0.00461,1.0,0.40485,0.0,0.01383,1.0,0.0,1.0,0.0,1.0,0.52071,0.0,0.0056,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00099,1.0,0.0,1.0,0.0,1.0,0.00296,1.0,0.0034,0.0,1.0,0.00196,0.00329,2632.0,120.97549,21.75647,0.68545,0.57695,0.62872,0.60564,,0.76436,0.69683,0.78219,0.62001,,0.0,0.8707,0.87696,0.9,0.87474,,0.81281,0.75001,0.66671,0.735,,0.0
6111001302,111.0,0.27888,0.0,0.9578,0.0,0.12825,0.0,0.08097,0.0,0.06489,1.0,0.0687,0.0,0.00763,1.0,0.59924,0.0,0.0,1.0,0.3151,0.0,0.00509,1.0,0.0,1.0,0.0,1.0,0.58609,0.0,0.0,1.0,0.00212,1.0,0.03944,1.0,0.00424,1.0,0.0,1.0,0.00382,1.0,0.0212,1.0,0.0,1.0,0.00244,0.0,1.0,0.00122,0.00148,2528.0,3.68256,686.47826,0.66721,0.63723,0.57139,0.60836,,0.76499,0.69645,0.66989,0.41116,,0.0,0.93857,0.93233,0.94558,0.91701,,0.80928,0.73238,0.72516,0.62017,,0.0
6111001303,111.0,0.1056,0.0,0.94554,0.0,0.08534,0.0,0.09353,1.0,0.09391,1.0,0.05073,0.0,0.01284,1.0,0.43429,0.0,0.0,1.0,0.48766,0.0,0.03776,1.0,0.00415,1.0,0.0,1.0,0.36996,0.0,0.0,1.0,0.00164,1.0,0.0,1.0,0.00831,1.0,0.01674,0.0,0.00164,1.0,0.00441,1.0,0.0,1.0,0.00574,0.0,1.0,0.0054,0.00527,4837.0,2.75397,1756.37102,,,,,,,,,,,,0.90984,0.89992,0.91343,0.8915,,0.85347,0.80016,0.85012,0.75922,,0.0
6111001304,111.0,0.1056,0.0,0.94554,0.0,0.08534,0.0,0.09353,1.0,0.09391,1.0,0.05073,0.0,0.01284,1.0,0.43429,0.0,0.0,1.0,0.48766,0.0,0.03776,1.0,0.00415,1.0,0.0,1.0,0.36996,0.0,0.0,1.0,0.00164,1.0,0.0,1.0,0.00831,1.0,0.01674,0.0,0.00164,1.0,0.00441,1.0,0.0,1.0,0.00399,0.0,1.0,0.00079,0.00386,3275.0,0.85375,3835.99924,,,,,,,,,,,,0.906,0.88743,0.91386,0.89787,,0.85287,0.78495,0.80064,0.7649,,0.0
